OBJECTID,SUBCOUNTY_NAME,DISTRICT_NAME,POP,Area,Karamoja,S_Yield_Ha,M_Yield_Ha,Crop_Area_Ha,S_Area_Ha,M_Area_Ha,S_Prod_Tot,M_Prod_Tot,Total_Yield_Ha,Total_Prod,prod_per_capita
927,TAPAC,MOROTO,21999,622266516,Y,155.8699345,211.9656354,1111.664207,315.979223,793.2370943,49251.66081,168139.0047,367.8355699,217390.66551,9.881843061502796
928,NORTHERN DIVISION,MOROTO,7161,2738777,Y,131.9776979,241.5384268,0.322315707,0.130940756,0.191374951,17.28125956,46.22440465,373.5161247,63.50566420999999,0.008868267589722105
929,SOUTHERN DIVISION,MOROTO,3272,2121209,Y,114.7955689,0.0,0.171390461,0.171390461,0.0,19.67486547,0.0,114.7955689,19.67486547,0.006013100693765281
978,LOREGAE,NAKAPIRIPIRIT,26644,928683431,Y,384.256293,1114.593607,5759.618906,4622.49187,864.1105686,1776221.59,963132.1158,1498.8499000000002,2739353.7058,102.81315514937697
979,NAKAPIRIPIRIT TOWN COUNCIL,NAKAPIRIPIRIT,1418,4673094,Y,482.4387931,1257.802716,29.14576036,1.339919159,27.79576662,646.428982,34961.59076,1740.2415090999998,35608.019742,25.11143846403385
980,NAMALU,NAKAPIRIPIRIT,25905,553067364,Y,560.3130703,1325.254872,5793.507623,2197.572106,3293.74946,1231328.374,4365057.517,1885.5679423000001,5596385.891,216.03496973557228
981,KAKOMONGOLE,NAKAPIRIPIRIT,15960,312709097,Y,398.9790051,1318.261936,3264.534948,2791.83741,457.3576054,1113884.513,602917.1224,1717.2409411,1716801.6354,107.56902477443609
982,LOLACHAT,NAKAPIRIPIRIT,22801,642401705,Y,334.2843018,1225.930541,5079.779088,4364.693411,655.2122757,1459048.489,803244.7393,1560.2148428,2262293.2283,99.21903549405728
983,LORENGEDWAT,NAKAPIRIPIRIT,9929,435714604,Y,188.6996119,795.7332802,2008.068169,1917.576345,80.41702686,361845.9121,63990.50457,984.4328921,425836.41667,42.8881475143519
984,NABILATUK,NAKAPIRIPIRIT,27534,499776866,Y,259.4541224,1066.204758,3276.653762,3156.538704,87.47454924,818976.9792,93265.78063,1325.6588804,912242.7598299999,33.131501410256405
1023,IRIIRI,NAPAK,46979,1030623258,Y,229.2991573,873.4522415,5473.443674,1550.94457,3840.698081,355630.2829,3354666.348,1102.7513988,3710296.6309,78.97776944805126
1024,LOPEEI,NAPAK,18815,790782350,Y,108.1564114,1053.257168,3120.318045,2121.74732,955.2646167,229480.5759,1006139.305,1161.4135794000001,1235619.8809,65.67206382673399
1025,LORENGECORA,NAPAK,2503,118997955,Y,184.0811969,841.8150105,1031.196285,672.1218865,358.5503345,123725.0013,301833.0535,1025.8962074,425558.0548,170.0191988813424
1026,LOTOME,NAPAK,17834,125857565,Y,128.5555976,507.9070676,1849.966589,1770.358693,78.03589239,227589.5198,39634.98127,636.4626652,267224.50107,14.983991312661209
1027,MATANY,NAPAK,29495,338252511,Y,130.0076868,497.3532824,2990.847377,2664.796115,288.329571,346443.9786,143401.6585,627.3609692,489845.63709999993,16.607751724021018
1028,NAPAK TOWN COUNCIL,NAPAK,8010,150906375,Y,175.828068,725.8139301,792.2492731,386.1580327,401.1734419,67897.42082,291177.2726,901.6419981,359074.69342,44.82830130087391
1029,NGOLERIET,NAPAK,20790,158887552,Y,134.0840894,528.6998225,1215.227445,1145.339875,68.12400511,153571.8541,36017.14941,662.7839119,189589.00351,9.119240188071188
1295,NYAKWAE,ABIM,16470,769609687,Y,329.7590298,779.2250311,792.8987889,342.8168384,331.1113402,113046.948,258010.2444,1108.9840609,371057.1924,22.529277012750455
1313,LOKOPO,NAPAK,23200,1794470536,Y,120.8622322,748.8298623,6471.047334,5830.549392,553.5431231,704693.2144,414509.6206,869.6920944999999,1119202.835,48.241501508620686
1318,RUPA,MOROTO,41493,2069554899,Y,114.2709211,699.3343089,2217.290717,1989.119508,222.8388813,227298.5184,155838.875,813.60523,383137.3934,9.233783852698046
1320,MORUITA,NAKAPIRIPIRIT,16588,839293722,Y,430.5573751,1248.955812,1161.390229,185.2834449,959.6711616,79775.15368,1198586.875,1679.5131870999999,1278362.02868,77.06547074270557
