OBJECTID,NAME,POP,Area,S_Yield_Ha,M_Yield_Ha,Crop_Area_Ha,S_Area_Ha,M_Area_Ha,S_Prod_Tot,M_Prod_Tot,Total_Yield_Ha,Total_Prod,prod_per_capita
92,ABIM,90385,2771977106,449,1040,5470.068394,3277.295971,1848.621855,1471506,1922567,1489,3394073,37.55128616473972
96,AMUDAT,101790,1643582836,205,1297,5765.443719,2973.42386,2733.661014,609552,3545558,1502,4155110,40.820414579035265
20,KAABONG,627057,7373606003,279,945,28121.67253,20544.19496,7394.416334,5731830,6987723,1224,12719553,20.284524373382325
85,KOTIDO,243157,3641539808,331,1148,53032.64945,50247.4439,1751.372284,16631904,2010575,1479,18642479,76.66848579312955
5,MOROTO,127811,3570160948,128,355,5954.814048,4741.748776,1190.050606,606944,422468,483,1029412,8.054173740914319
54,NAKAPIRIPIRIT,146780,4216323900,356,1264,26372.69849,19237.33321,6425.788414,6848491,8122197,1620,14970688,101.99405913612209
80,NAPAK,167625,4508782023,137,854,22944.29602,16142.01588,6543.719066,2211456,5588336,991,7799792,46.531197613721105
